日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20121228,        810,        817,        806,        811,        784,      787.2,     723.72,   811.2653,       20706100,       21494660,       20173948
20121227,        786,        803,        784,        798,      778.2,      785.4,     722.88,   794.0423,       22817900,       28442700,       20152464
20121226,        780,        784,        771,        782,      787.4,     783.48,     722.25,   778.7293,       12958000,       29208900,       19928656
20121225,        777,        784,        765,        766,        791,     782.24,     721.45,    772.985,       12985600,       30300700,       20176676
20121221,        790,        790,        755,        763,      797.6,     781.12,     720.86,   769.0095,       38005700,       30858680,       21279252
20121220,        814,        828,        778,        782,        802,     778.68,      720.5,   793.6978,       55446300,       27379480,       20695824
20121219,        820,        844,        817,        844,      803.2,     774.76,      719.8,   831.4029,       26648900,       19174480,       18792400
20121218,        797,        812,        796,        800,      788.6,     768.48,     718.28,      805.7,       18417000,       15846600,       18145188
20121217,        803,        808,        794,        799,      781.6,        764,     717.49,   800.9215,       15775500,       13809000,       17862484
20121214,        782,        795,        779,        785,      775.8,     759.96,     716.84,   785.4627,       20609700,       12820020,       17801352
20121213,        785,        793,        782,        788,        774,     756.44,     716.38,   787.7704,       14421300,       10962120,       17591636
20121212,        774,        775,        770,        771,      771.4,     753.12,      716.1,   772.5219,       10009500,       11030460,       18282620
20121211,        765,        773,        760,        765,      773.2,     749.36,     716.02,   765.3924,        8229000,       13450920,       18398836
20121210,        779,        781,        767,        770,      775.6,      746.4,     716.18,   772.0374,       10830600,       16512620,       18514044
20121207,        771,        781,        768,        776,        783,     743.04,     716.34,   776.3637,       11320200,       17461280,       18574340
20121206,        791,        792,        774,        775,      787.6,     738.88,     716.54,   778.7413,       14763000,       19760140,       18600516
20121205,        767,        784,        762,        780,        791,      734.6,     716.73,    772.396,       22111800,       20209980,       18636968
20121204,        796,        798,        775,        777,      789.6,     729.52,     716.93,   783.2687,       23537500,       18395500,       18942416
20121203,        810,        811,        796,        807,      790.8,     725.24,     717.01,   805.4014,       15573900,       18883500,       19024728
20121130,        799,        809,        784,        799,      790.6,     720.36,      716.5,   799.5193,       22814500,       21021380,       18987844
20121129,        781,        795,        780,        792,      788.4,     716.52,     716.09,   787.8716,       17012200,       21273340,       18727012
20121128,        778,        787,        772,        773,      783.2,     712.44,     715.81,   776.9185,       13039400,       21904700,       18583436
20121127,        788,        797,        782,        783,      778.6,      709.6,     715.81,   788.5613,       25977500,       22741360,       18487536
20121126,        805,        815,        803,        806,      772.2,     706.44,     715.74,   809.3744,       26263300,       21377560,       17959452
20121122,        780,        790,        780,        788,      758.6,     702.56,     715.37,   784.8966,       24074300,       24234900,       17560384
20121121,        757,        772,        756,        766,      741.4,     698.96,      715.1,   765.1262,       20169000,       24104040,       17550436
20121120,        756,        762,        749,        750,        725,     695.32,     714.94,   754.1109,       17222700,       21642380,       17275480
20121119,        757,        758,        751,        751,      712.4,      692.6,     714.78,   754.3294,       19158500,       20291560,       17077728
20121116,        715,        745,        714,        738,      699.8,     689.56,     714.77,   734.9081,       40550000,       18729740,       17022356
20121115,        690,        712,        688,        702,      691.8,     686.68,      714.7,   701.1927,       23420000,       13469180,       16105892
20121114,        689,        690,        682,        684,      690.8,     684.84,     715.26,   685.4123,        7860700,       11858540,       16001256
20121113,        687,        691,        682,        687,        695,     684.04,     715.96,   687.0318,       10468600,       16625580,       16820496
20121112,        691,        697,        687,        688,        693,      682.8,     716.49,   690.8967,       11349400,       17114840,       17092316
20121109,        693,        703,        685,        698,      693.6,     682.04,     716.74,   694.6154,       14247200,       17066800,       17400044
20121108,        693,        705,        692,        697,      691.2,     681.28,     716.76,   699.4848,       15366800,       16684960,       18166348
20121107,        699,        710,        698,        705,      686.2,     679.24,     717.02,   705.1867,       31695900,       16006520,       18494380
20121106,        678,        682,        673,        677,      678.8,     677.44,     717.18,   677.8517,       12914900,       12802200,       17942156
20121105,        682,        693,        679,        691,        674,     676.56,     717.85,   687.9486,       11109200,       16168820,       18196872
