日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20081230,        319,        332,        316,        320,      310.4,        315,     474.53,    324.769,       15526400,       13422140,       23916060
20081229,        315,        320,        311,        319,      307.2,     316.08,     481.25,    316.034,       13105900,       13897860,       24636324
20081226,        305,        315,        303,        313,      302.6,      316.4,     487.66,   308.8329,       12007600,       17235000,       25061244
20081225,        299,        304,        297,        304,      300.8,     317.72,     494.56,   301.0826,       14218800,       19897280,       25388016
20081224,        299,        300,        295,        296,      300.4,      319.8,     501.66,   297.1668,       12252000,       24171460,       25595784
20081222,        295,        305,        295,        304,      304.2,     322.72,     508.61,   300.0306,       17905000,       25823560,       26291960
20081219,        299,        305,        295,        296,      309.6,     325.44,     515.48,   298.8542,       29791600,       27970020,       26639376
20081218,        297,        308,        295,        304,        312,     328.56,     522.74,   302.4037,       25319000,       29187080,       27185340
20081217,        320,        320,        293,        302,      320.8,     332.52,     529.54,   303.3684,       35589700,       30805100,       27211988
20081216,        321,        322,        309,        315,      329.2,      337.4,     536.37,   316.9272,       20512500,       30080620,       26564100
20081215,        317,        333,        317,        331,      331.6,      342.4,     543.56,   327.2608,       28637300,       31734940,       26519180
20081212,        330,        338,        304,        308,      326.2,     346.04,     550.56,   319.1724,       35876900,       29656420,       26666156
20081211,        342,        351,        332,        348,      324.2,     351.92,     557.52,   342.5358,       33409100,       27844280,       26089872
20081210,        323,        350,        321,        344,        313,        358,     564.02,   336.5534,       31967300,       25784500,       26084220
20081209,        308,        328,        307,        327,      306.6,     361.88,     570.64,   320.7835,       28784100,       25192240,       26740744
20081208,        296,        308,        292,        304,      301.6,     368.52,     577.58,    300.547,       18244700,       26289180,       26432348
20081205,        297,        306,        290,        298,      302.4,     377.88,     585.12,   297.2642,       26816200,       26966620,       27335432
20081204,        313,        315,        290,        292,      306.2,      384.8,     592.65,   298.8866,       23110200,       26000960,       27856240
20081203,        311,        313,        301,        312,      313.4,     390.04,     600.02,   309.1941,       29006000,       25541100,       28114896
20081202,        298,        308,        291,        302,      318.4,     393.72,     607.33,   300.6385,       34268800,       23743620,       28302144
20081201,        318,        319,        303,        308,      327.2,     399.28,     614.76,   309.0093,       21631900,       22310480,       27925240
20081128,        329,        331,        314,        317,        335,      405.6,     622.37,   320.8212,       21987900,       24690700,       28288560
20081127,        337,        344,        325,        328,        337,     412.92,     629.38,    333.933,       20810900,       25038900,       28207996
20081126,        350,        351,        334,        337,      340.6,     421.76,      636.4,   338.6683,       20018600,       24912100,       28175252
